"quantile(LAacquired$RateAmount, seq(0.1, 1, 0.01))"
"10%" 25.43
"11%" 25.844
"12%" 28
"13%" 28
"14%" 28
"15%" 28
"16%" 28
"17%" 28
"18%" 31.3396
"19%" 33.21
"20%" 35
"21%" 37.4764
"22%" 41.2516
"23%" 41.9288
"24%" 42.8064
"25%" 43.13
"26%" 45
"27%" 45
"28%" 46.5012
"29%" 49.7384
"30%" 50
"31%" 50.2592
"32%" 55.376
"33%" 56
"34%" 56.8456
"35%" 66.42
"36%" 69.948
"37%" 75
"38%" 81.0872
"39%" 84.3192000000001
"40%" 90
"41%" 91.6328
"42%" 93.14
"43%" 94.578
"44%" 95.8444
"45%" 98.8240000000001
"46%" 104.77
"47%" 106.1512
"48%" 107.81
"49%" 109.9944
"50%" 112
"51%" 113.6624
"52%" 115.5184
"53%" 116.14
"54%" 119.9352
"55%" 122.824
"56%" 124.8232
"57%" 127.77
"58%" 128.2488
"59%" 131.668
"60%" 135
"61%" 141.472
"62%" 147.534
"63%" 153.7276
"64%" 165.3652
"65%" 169.114
"66%" 173.64
"67%" 175.4344
"68%" 180.5184
"69%" 191.7756
"70%" 197.622
"71%" 201.4228
"72%" 207.918
"73%" 209.9472
"74%" 220.0896
"75%" 225
"76%" 233.8812
"77%" 248.08
"78%" 273.404
"79%" 278.7756
"80%" 292.08
"81%" 320.6424
"82%" 340.7372
"83%" 358.132
"84%" 385.1464
"85%" 397.002
"86%" 402.2264
"87%" 420
"88%" 457.416
"89%" 480.4624
"90%" 498.112
"91%" 527.3104
"92%" 617.7292
"93%" 736.085200000003
"94%" 903.277200000001
"95%" 1406.988
"96%" 1695.6216
"97%" 1940.7036
"98%" 2548.9332
"99%" 2983.9144
"100%" 3307.75
